product_id,product_name,brand,category,unit_size,unit_type
P0001,10ltr Tilting Wet Grinder (W) Crate Packing,,Appliances,10.0,L
P0002,2 lit Wet Grinder Tilting (Heavy Type),,Appliances,2.0,L
P0003,3ltr Industrial SS Wetgrinder (W) 0.5hp 1ph Ld Motor (Gear) with Crate Packing,,Appliances,3.0,L
P0004,3ltr Tilting Wet Grinder,,Appliances,3.0,L
P0005,555 Medium Triple Glass Lid,,Kitchenware,,
P0006,555 Steamer Big (334),,Kitchenware,,
P0007,5ltr Tilting Wet Grinder W Crate Packing,,Appliances,5.0,L
P0008,Aluminium Anodised Handy,,Kitchenware,,
P0009,Aluminium Anodised Uruli,,Kitchenware,,
P0010,Aluminium Utensils - Handy - 10-22,,Kitchenware,,
P0011,Aluminium Utensils Handy 8-9,,Kitchenware,,
P0012,Aluminium Vis Muram,,Kitchenware,,
P0013,Appachetty (205),,Kitchenware,,
P0014,Appachetty 4mm (204),,Kitchenware,4.0,MM
P0015,B03-1268 Pyali Deep No 4 (Swastik),,Pooja & Handicrafts,,
P0016,B03-1321 Tk Srinivasa Perumal Vilakku (064)(TML),,Pooja & Handicrafts,,
P0017,B03-1423 Sangu Chakra Vilakku No 1 (Swastik) (LIL),,Pooja & Handicrafts,,
P0018,B03-158 Kuthu Vilakku No.12 (Rangoli),,Pooja & Handicrafts,,
P0019,B03-1672 T K Varagi Amman Vilakku (B2)(KIS) Ok,,Pooja & Handicrafts,,
P0020,"B03-1846 Six Face Vel Vilakku ""M"" (KYS)",,Pooja & Handicrafts,,
P0021,B03-22 Om Vilakku No-2,,Pooja & Handicrafts,,
P0022,B03-248 Kamatchi Vilakku No.20 (Gj),,Pooja & Handicrafts,,
P0023,B03-593 Lakshmi Kuber Deep with 8 Coin (Ey),,Pooja & Handicrafts,,
P0024,B03-651 Tk Gajlakshmi Villaku Jumbo (111) IUSY,,Pooja & Handicrafts,,
P0025,B10-95 Brass Lota (S)(Mittal)(IC),,Pooja & Handicrafts,,
P0026,B10-96 Brass Lota (B)(Mittal)(MM),,Pooja & Handicrafts,,
P0027,B11-14 Kudam No.1 (Pure)(22gage) (YSS),,Pooja & Handicrafts,,
P0028,B12-01 Poojai Mani (NAN)(150) No.8 (LLS),,Pooja & Handicrafts,,
P0029,B12-43 Poojai Mani (NAN)(250) Pec,,Pooja & Handicrafts,,
P0030,"B13-217 Ring Plate No.07"" (H)",,Kitchenware,,
P0031,"B13-218 Ring Plate No.08"" (H)",,Kitchenware,,
P0032,"B13-219 Ring Plate No.09"" (H)",,Kitchenware,,
P0033,"B13-220 Ring Plate No.10"" (H)",,Kitchenware,,
P0034,"B13-222 Ring Plate No.11"" (H) (UKY)",,Kitchenware,,
P0035,"B13-231 Ring Plate No.12"" (H)",,Kitchenware,,
P0036,"B13-304 Ring Plate No-6"" (H)",,Kitchenware,,
P0037,B13-346 Rangoli Star Plus No 6 (Omr)(CMY),,Pooja & Handicrafts,,
P0038,B13-97 Karpoora Thathu No.7 (Gj)(LTM),,Pooja & Handicrafts,,
P0039,B14-130 Pushpa Bathi No 2 (Omr)(MS),,Pooja & Handicrafts,,
P0040,B14-131 Star Bathi No 0 (Omr)(KU),,Pooja & Handicrafts,,
P0041,B14-133 Star Bathi No 2 (Omr)(MY),,Pooja & Handicrafts,,
P0042,B18-03 Viboothi Boat No -2,,Pooja & Handicrafts,,
P0043,B18-107 Boat with Kinnam (Big) Omr,,Pooja & Handicrafts,,
P0044,B18-108 Boat with Kinnam (Small) Omr,,Pooja & Handicrafts,,
P0045,B18-121 Dhoopakal - Lid Type No-2 (Asha),,Kitchenware,,
P0046,B18-163 Dhoopakal No-2 (L),,Pooja & Handicrafts,,
P0047,B18-180 Kumkum Dubby (Bulging Padam) No.3 (Omr),,Pooja & Handicrafts,,
P0048,B18-270 Dhoopakal - Lid Type No-0 (Asha)(CUY),,Kitchenware,,
P0049,B18-295 Ledal Dhoopakal No2 (Shakthi)(LEY),,Pooja & Handicrafts,,
P0050,B18-299 Gulab Dhoopakal No 3 (Shakthi)(LMU),,Pooja & Handicrafts,,
P0051,B18-322 Dhoopakal with Wood Handle (B)(Kamal)(CYY),,Pooja & Handicrafts,,
P0052,B21-24 Sheet Uruli No.7 (Rangoli) - Pec,,Kitchenware,,
P0053,B21-27 Sheet Uruli No.10 (Rangoli) - Pec,,Kitchenware,,
P0054,B28-1412 Palgat Arthi (2) (GJ),,Pooja & Handicrafts,,
P0055,B28-177 Soodamani Vilakku No.1 (Goyal) LLUI,,Pooja & Handicrafts,,
P0056,"B33-157 Vel W Stand 4"" (GJ)(IM)",,Pooja & Handicrafts,,
P0057,Coconut Scrapper (SMALL SS),,Kitchenware,,
P0058,Combi Pack Cooker 5ltr (105),,Kitchenware,5.0,L
P0059,Cooker Whistle (815),,Kitchenware,,
P0060,Deluxe Cooker 5lt (103),,Kitchenware,,
P0061,Domestic Tandoori 14 X 20 inch,,Kitchenware,,
P0062,Domestic Tandoori 18 X 25 inch,,Kitchenware,,
P0063,Domestic Tandoori 20 X 25 inch,,Kitchenware,,
P0064,Gasket 3 Ltr.,,Kitchenware,3.0,L
P0065,Gasket 5 Ltr.,,Kitchenware,5.0,L
P0066,Gasket 7.5 Ltr.,,Kitchenware,7.5,L
P0067,I-Class Combo Cooker (3+2),,Kitchenware,,
P0068,ISI Pressure Cooker 3ltr (105),,Kitchenware,3.0,L
P0069,ISI Pressure Cooker 5ltr (105),,Kitchenware,5.0,L
P0070,IVI - Pressing Paniyaram 7k,,Kitchenware,,
P0071,IVI - Pressing Paniyaram 9k,,Kitchenware,,
P0072,IVI Pressing Paniyarakuzhi 12k,,Kitchenware,,
P0073,Idly Pannai,,Kitchenware,,
P0074,Idly Pannai (Medium),,Kitchenware,,
P0075,Idly Pannai (Small),,Kitchenware,,
P0076,Induction Cooker 5ltr (107),,Kitchenware,5.0,L
P0077,Induction Cooker 7.5ltr (107),,Kitchenware,7.5,L
P0078,Kleen Cooker 5ltr (109),,Kitchenware,5.0,L
P0079,Kleen Cooker 7.5ltr (111),,Kitchenware,7.5,L
P0080,MINI IDLY NO.6 WITH DOUBLE PLATE,,Kitchenware,,
P0081,Nexa 12 Idly (313),,Kitchenware,,
P0082,Nexa 13 Idly (314),,Kitchenware,,
P0083,Nexa 14 Idly (315),,Kitchenware,,
P0084,Nexa 15 Idly (316),,Kitchenware,,
P0085,Nexa 16 Idly (317),,Kitchenware,,
P0086,Nexa 20 Idly (318),,Kitchenware,,
P0087,Nexa 21 Idly (319),,Kitchenware,,
