product_id,supplier_id,latest_purchase_date,qty_till_date,latest_price_inr,latest_price_eur,price_per_unit_inr,total_spend_inr,total_spend_eur,is_free_item,has_price_change
P0195,S01,2023-11-09,5.11,692.59,6.3,197.88,3540.43,32.22,False,False
P0196,S01,2023-11-09,6.76,879.12,8.0,135.25,5946.78,54.11,False,False
P0199,S01,2023-11-09,5.86,472.53,4.3,157.51,2768.72,25.19,False,False
P0200,S01,2023-11-09,10.05,669.6,6.09,133.92,6731.04,61.25,False,False
P0201,S01,2023-11-09,6.17,768.51,6.99,102.47,4742.61,43.16,False,False
P0209,S01,2023-11-10,8.97,43.68,0.4,4.37,391.97,3.57,False,False
P0210,S01,2023-11-10,9.03,33.82,0.31,11.28,305.51,2.78,False,False
P0211,S01,2023-11-10,9.55,38.95,0.35,7.79,371.91,3.38,False,False
P0282,S01,2024-07-24,29.43,240.27,2.19,,6907.17,62.85,False,True
P0283,S01,2024-07-24,28.97,195.43,1.78,,5661.27,51.51,False,False
P0284,S01,2024-07-24,12.79,208.14,1.89,,2662.04,24.22,False,False
P0285,S01,2024-07-24,24.03,271.33,2.47,,6519.31,59.33,False,False
P0286,S01,2023-11-09,6.16,702.3,6.39,140.46,4329.3,39.39,False,False
P0289,S01,2023-11-09,6.14,1057.82,9.63,124.45,6494.68,59.1,False,False
P0293,S01,2024-07-24,33.53,435.08,3.96,145.03,14588.62,132.75,False,False
P0294,S01,2024-07-24,52.45,659.98,6.01,132.0,34618.78,315.03,False,False
P0295,S01,2023-11-09,10.83,477.27,4.34,159.09,5168.85,47.03,False,False
P0296,S01,2023-11-10,10.87,683.15,6.22,136.63,7429.03,67.6,False,False
P0304,S01,2024-07-24,27.04,702.88,6.4,200.82,19006.9,172.96,False,False
P0305,S01,2024-07-24,28.06,824.58,7.5,126.86,23138.8,210.56,False,False
P0306,S01,2023-11-09,6.89,353.43,3.22,103.95,2436.77,22.18,False,False
P0307,S01,2024-07-24,34.94,452.87,4.12,226.43,15822.8,143.99,False,False
P0308,S01,2024-07-24,41.59,485.33,4.42,161.77,20046.7,182.43,False,True
P0309,S01,2024-07-24,95.46,732.35,6.66,146.47,69718.13,634.43,False,True
P0310,S01,2023-11-10,7.31,891.63,8.11,118.88,6520.81,59.34,False,False
P0311,S01,2024-07-24,31.33,1894.26,17.24,,59353.0,540.12,False,False
P0313,S01,2023-11-09,11.87,407.26,3.71,135.75,4836.18,44.01,False,False
P0314,S01,2023-11-09,16.53,552.47,5.03,110.49,9130.93,83.09,False,False
P0318,S01,2024-07-24,201.95,315.91,2.87,,63798.91,580.57,False,False
P0319,S01,2024-07-24,86.38,271.58,2.47,,23457.76,213.47,False,False
P0320,S01,2023-11-10,25.65,369.5,3.36,,9477.78,86.24,False,False
P0323,S01,2023-11-10,10.2,417.41,3.8,,4256.89,38.74,False,False
P0324,S01,2023-11-09,22.38,368.48,3.35,,8245.67,75.04,False,False
P0326,S01,2023-11-10,18.08,386.5,3.52,,6987.43,63.59,False,False
P0328,S01,2023-11-09,11.34,472.97,4.3,0.94,5363.6,48.81,False,False
P0329,S01,2024-07-24,116.77,306.36,2.79,76.59,35514.86,323.18,False,True
P0331,S01,2024-07-24,58.58,314.1,2.86,6.28,18399.59,167.44,False,False
P0332,S01,2024-07-24,59.57,361.67,3.29,7.23,21533.83,195.95,False,True
P0333,S01,2023-11-09,4.43,98.12,0.89,,434.27,3.95,False,False
P0334,S01,2024-07-24,29.2,470.69,4.28,9.41,13619.76,123.94,False,True
P0336,S01,2024-07-24,27.55,461.2,4.2,7.68,12614.61,114.79,False,True
P0338,S01,2024-07-24,30.54,253.47,2.31,5.07,7556.09,68.76,False,True
